Queue Time (ms),Response Time (s),Worker ID
0,0.17,99
0,25,99
0,4.34,96
0,21.34,105
0,6.14,103
0,1.94,100
0,1.87,98
0,1.98,96
0,1.75,100
0,2.1,93
0,2.6,91
0,1.81,90
0,1.94,89
0,1.83,81
0,1.98,106
0,1.27,80
0,2.26,78
0,2.03,97
0,1.16,77
0,3.29,63
0,0.83,45
0,2.64,47
0,0.31,96
0,21.35,96
0,0.31,100
0,1.82,97
0,20.03,104
0,0.51,103
0,21.52,97
0,3.44,103
0,5.8,102
0,22.32,103
0,21.32,101
0,4.57,100
0,1.86,105
0,2.1,102
0,4.92,99
0,0.19,105
0,0.34,102
0,0.19,105
0,1.13,105
0,2.02,102
0,1.38,96
0,1.03,100
0,1.18,99
0,1.78,105
0,1.84,104
0,2.47,98
0,2.06,95
0,1.11,94
0,1.84,93
0,2.26,92
0,10.27,100
0,32.89,96
0,6.52,102
0,9.32,105
0,0.2,97
0,0.31,97
0,0.2,97
0,0.19,97
0,2.03,97
0,0.21,104
0,0.21,97
0,4.39,97
0,0.19,105
0,0.19,105
0,0.4,97
0,0.14,97
0,0.2,97
0,0.21,97
0,23.04,97
0,0.17,105
0,0.18,105
0,6.24,96
0,0.19,105
0,0.19,105
0,0.2,96
0,3.05,96
0,1.78,105
0,1.91,104
0,2.03,103
0,1.13,102
0,2.05,101
0,4.59,100
0,1.89,99
0,2,98
0,0.16,95
0,2.07,94
0,2.96,93
0,1.44,102
0,1.83,95
0,1.79,1
0,1.74,96
0,1.93,105
0,3.28,104
0,1.93,103
0,2.62,101
0,3.25,104
0,2.15,103
0,11.75,101
0,0.7,97
0,0.13,97
0,23.32,97
0,23.91,104
0,2.36,103
0,2.03,101
0,2.27,100
0,1.9,76
0,2.05,75
0,2,63
0,2.18,42
0,2.33,43
0,2.05,45
0,2.28,47
0,24.91,49
0,60.05,50
0,3.2,103
0,1.93,101
0,2.24,100
0,2.07,76
0,1.47,75
0,25.41,63
0,1.18,42
0,23.27,45
0,13.09,43
0,1.81,51
0,23.87,53
0,24.55,47
0,24.51,101
0,26.48,103
0,2.09,100
0,25.42,100
0,20.47,76
0,26.44,75
0,0.16,42
0,25.74,42
0,24.87,44
0,25.82,51
0,3.06,56
0,76.95,59
0,27.07,60
0,30.53,43
0,25.17,56
0,26.86,61
0,2.16,62
0.86,27.78,97
0.17,24.11,52
0,23.64,62
0,25.85,104
0.53,28.62,45
0,0.12,49
0,0.23,63
0,27.49,101
0,26.27,63
0,27.37,47
0,0.19,49
0,26.06,76
0,26.08,103
0,1.99,100
0,7.55,109
0,0.12,100
0,28.1,100
0,32.08,108
0,23.96,107
0,3.99,97
0,0.16,109
0,27.25,109
0,1.28,75
0,27.24,42
0,31.49,97
0,1.92,104
0,1.87,120
0,29.48,104
0,28.88,120
0,1.29,103
0,32.76,101
0,29.36,103
0,3.6,119
0,1.25,118
0,1.76,100
0,1.17,119
0,1.93,118
0,2.46,117
0,1.61,116
0,2.75,115
0,1.22,114
0,0.98,113
0,2.18,112
0,29.72,111
0,34.41,110
0,31,119
0,1.13,107
0,36.79,76
0,2.36,75
0,1.8,113
0,0.13,100
0,1.38,100
0,6.59,118
0,0.16,100
0,3.46,100
0,3.71,117
0,33.05,100
0,40.73,118
0,52.14,97
0,0.11,104
0,51.85,104
0,50.43,120
0,0.16,117
0,262.04,117
0,42.36,116
0,0.15,115
0,1.57,115
0,2.32,114
0,2.08,113
0,2.03,112
0,1.86,109
0,3.03,108
0,2.72,107
0,1.91,75
0,6.04,103
0,2.84,101
0,231.61,101
0,35.74,115
0,34.27,114
0,0.14,113
0,0.12,103
0,0.18,103
0,115.07,113
0,0.15,112
0,40.13,111
0,0.19,119
0,0.17,119
0,172.31,119
0,3.97,110
0,1.29,76
0,2.99,49
0,1.41,50
0,1.78,51
0,1.94,52
0,1.86,53
0,2.01,54
0,1.93,55
0,2.29,56
0,1.88,57
0,2.27,58
0,1.77,59
0,2.37,100
0,1.28,76
0,1.01,50
0,2.28,110
0,0.14,100
0,3.48,100
0,2.44,110
0,3.51,100
0,3.83,118
0,1.43,100
0,0.15,100
0,2.04,100
0,1.48,118
0,0.16,114
0,185.32,114
0,143.85,115
0,201.58,100
0,6.28,118
0,2.7,97
0,3.3,97
0,268.16,104
0,3.38,120
0,0.14,97
0,230,97
0,247.26,120
0,274.89,118
0,0.2,116
0,0.13,116
0,0.2,116
0,256.11,116
0,270.4,111
0,0.11,110
0,21.81,110
0,276.06,76
0,21.7,48
0,233.37,49
0,297.09,50
0,21.47,51
0,0.14,52
0,22.07,53
0,53.2,52
0,0.12,54
0,21.36,54
0,2.6,55
0,26.69,55
0,0.14,110
